Date,Open,High,Low,Close
1990-01-02,"2,434.10","2,434.10","2,434.10","2,434.10"
1990-01-02,"2,434.10","2,434.10","2,434.10","2,434.10"
1990-01-03,"2,463.70","2,463.70","2,463.70","2,463.70"
1990-01-03,"2,463.70","2,463.70","2,463.70","2,463.70"
1990-01-04,"2,451.60","2,451.60","2,451.60","2,451.60"
1990-01-04,"2,451.60","2,451.60","2,451.60","2,451.60"
1990-01-05,"2,444.50","2,444.50","2,444.50","2,444.50"
1990-01-05,"2,444.50","2,444.50","2,444.50","2,444.50"
1990-01-08,"2,431.30","2,431.30","2,431.30","2,431.30"
1990-01-08,"2,431.30","2,431.30","2,431.30","2,431.30"
1990-01-09,"2,436.30","2,436.30","2,436.30","2,436.30"
1990-01-09,"2,436.30","2,436.30","2,436.30","2,436.30"
1990-01-10,"2,412.60","2,412.60","2,412.60","2,412.60"
1990-01-10,"2,412.60","2,412.60","2,412.60","2,412.60"
1990-01-11,"2,417.90","2,417.90","2,417.90","2,417.90"
1990-01-11,"2,417.90","2,417.90","2,417.90","2,417.90"
1990-01-12,"2,380.10","2,380.10","2,380.10","2,380.10"
1990-01-12,"2,380.10","2,380.10","2,380.10","2,380.10"
1990-01-15,"2,366.20","2,366.20","2,366.20","2,366.20"
1990-01-15,"2,366.20","2,366.20","2,366.20","2,366.20"
1990-01-16,"2,349.10","2,349.10","2,349.10","2,349.10"
1990-01-16,"2,349.10","2,349.10","2,349.10","2,349.10"
1990-01-17,"2,373.90","2,373.90","2,373.90","2,373.90"
1990-01-17,"2,373.90","2,373.90","2,373.90","2,373.90"
1990-01-18,"2,336.90","2,336.90","2,336.90","2,336.90"
1990-01-18,"2,336.90","2,336.90","2,336.90","2,336.90"
1990-01-19,"2,335.00","2,335.00","2,335.00","2,335.00"
1990-01-19,"2,335.00","2,335.00","2,335.00","2,335.00"
1990-01-22,"2,297.10","2,297.10","2,297.10","2,297.10"
1990-01-22,"2,297.10","2,297.10","2,297.10","2,297.10"
1990-01-23,"2,291.10","2,291.10","2,291.10","2,291.10"
1990-01-23,"2,291.10","2,291.10","2,291.10","2,291.10"
1990-01-24,"2,278.60","2,278.60","2,278.60","2,278.60"
1990-01-24,"2,278.60","2,278.60","2,278.60","2,278.60"
1990-01-25,"2,289.90","2,289.90","2,289.90","2,289.90"
1990-01-25,"2,289.90","2,289.90","2,289.90","2,289.90"
1990-01-26,"2,314.50","2,314.50","2,314.50","2,314.50"
1990-01-26,"2,314.50","2,314.50","2,314.50","2,314.50"
1990-01-29,"2,328.80","2,328.80","2,328.80","2,328.80"
1990-01-29,"2,328.80","2,328.80","2,328.80","2,328.80"
1990-01-30,"2,322.00","2,322.00","2,322.00","2,322.00"
1990-01-30,"2,322.00","2,322.00","2,322.00","2,322.00"
1990-01-31,"2,337.30","2,337.30","2,337.30","2,337.30"
1990-01-31,"2,337.30","2,337.30","2,337.30","2,337.30"
1990-02-01,"2,345.80","2,345.80","2,345.80","2,345.80"
1990-02-01,"2,345.80","2,345.80","2,345.80","2,345.80"
1990-02-02,"2,355.10","2,355.10","2,355.10","2,355.10"
1990-02-02,"2,355.10","2,355.10","2,355.10","2,355.10"
1990-02-05,"2,348.40","2,348.40","2,348.40","2,348.40"
1990-02-05,"2,348.40","2,348.40","2,348.40","2,348.40"
1990-02-06,"2,321.10","2,321.10","2,321.10","2,321.10"
1990-02-06,"2,321.10","2,321.10","2,321.10","2,321.10"
1990-02-07,"2,307.40","2,307.40","2,307.40","2,307.40"
1990-02-07,"2,307.40","2,307.40","2,307.40","2,307.40"
1990-02-08,"2,331.00","2,331.00","2,331.00","2,331.00"
1990-02-08,"2,331.00","2,331.00","2,331.00","2,331.00"
1990-02-09,"2,313.20","2,313.60","2,313.60","2,313.20"
1990-02-09,"2,313.20","2,313.60","2,313.60","2,313.20"
1990-02-12,"2,286.90","2,286.90","2,286.90","2,286.90"
1990-02-12,"2,286.90","2,286.90","2,286.90","2,286.90"
1990-02-13,"2,293.20","2,293.20","2,293.20","2,293.20"
1990-02-13,"2,293.20","2,293.20","2,293.20","2,293.20"
1990-02-14,"2,298.30","2,298.30","2,298.30","2,298.30"
1990-02-14,"2,298.30","2,298.30","2,298.30","2,298.30"
1990-02-15,"2,313.80","2,313.80","2,313.80","2,313.80"
1990-02-15,"2,313.80","2,313.80","2,313.80","2,313.80"
1990-02-16,"2,325.90","2,325.90","2,325.90","2,325.90"
1990-02-16,"2,325.90","2,325.90","2,325.90","2,325.90"
1990-02-19,"2,297.10","2,297.10","2,297.10","2,297.10"
1990-02-19,"2,297.10","2,297.10","2,297.10","2,297.10"
1990-02-20,"2,277.00","2,277.00","2,277.00","2,277.00"
1990-02-20,"2,277.00","2,277.00","2,277.00","2,277.00"
1990-02-21,"2,259.70","2,259.70","2,259.70","2,259.70"
1990-02-21,"2,259.70","2,259.70","2,259.70","2,259.70"
1990-02-22,"2,269.20","2,269.20","2,269.20","2,269.20"
1990-02-22,"2,269.20","2,269.20","2,269.20","2,269.20"
1990-02-23,"2,236.70","2,236.70","2,236.70","2,236.70"
1990-02-23,"2,236.70","2,236.70","2,236.70","2,236.70"
1990-02-26,"2,249.30","2,249.30","2,249.30","2,249.30"
1990-02-26,"2,249.30","2,249.30","2,249.30","2,249.30"
1990-02-27,"2,254.80","2,254.80","2,254.80","2,254.80"
1990-02-27,"2,254.80","2,254.80","2,254.80","2,254.80"
1990-02-28,"2,255.40","2,255.40","2,255.40","2,255.40"
1990-02-28,"2,255.40","2,255.40","2,255.40","2,255.40"
